Designator,Mid X,Mid Y,Layer,Rotation,,,
C1,29.62 mm,-79.6 mm,Top,0,,,
C2,31.48 mm,-79.4 mm,Top,180,,,
C3,26.92 mm,-79.66 mm,Top,0,,,
C4,22.02 mm,-83 mm,Top,0,,,
C5,22.02 mm,-84.3 mm,Top,0,,,
C6,22.02 mm,-85.6 mm,Top,0,,,
C7,22.1 mm,-86.8 mm,Top,0,,,
C8,22.02 mm,-88.1 mm,Top,0,,,
C9,21.92 mm,-89.4 mm,Top,180,,,
C10,22.02 mm,-90.7 mm,Top,180,,,
C11,22.22 mm,-92 mm,Top,180,,,
C12,22.3 mm,-93 mm,Top,0,,,
C13,26.1 mm,-94.78 mm,Top,-90,,,
C14,27.1 mm,-94.62 mm,Top,-90,,,
C15,28.1 mm,-94.48 mm,Top,-90,,,
C16,29.1 mm,-94.52 mm,Top,-90,,,
C17,32 mm,-94.58 mm,Top,-90,,,
C18,33.7 mm,-97.25 mm,Top,-90,,,
C19,33.3 mm,-94.52 mm,Top,-90,,,
C20,30.52 mm,-94.1 mm,Top,180,,,
C21,31.1 mm,-96.3 mm,Top,180,,,
C22,55.1375 mm,-80.35 mm,Top,0,,,
C23,57.0575 mm,-80.35 mm,Top,180,,,
C24,47.4175 mm,-83.75 mm,Top,0,,,
C25,47.4175 mm,-84.95 mm,Top,0,,,
C26,47.4775 mm,-86.15 mm,Top,0,,,
C27,47.5175 mm,-87.35 mm,Top,0,,,
C28,47.52 mm,-88.5 mm,Top,0,,,
C29,47.52 mm,-89.7 mm,Top,180,,,
C30,47.5775 mm,-90.9 mm,Top,180,,,
C31,47.535 mm,-92 mm,Top,180,,,
C32,47.555 mm,-93.2 mm,Top,0,,,
C33,51.7375 mm,-95.43 mm,Top,-90,,,
C34,52.8375 mm,-95.43 mm,Top,-90,,,
C35,53.8375 mm,-95.43 mm,Top,-90,,,
C36,54.8375 mm,-95.45 mm,Top,-90,,,
C37,57.9375 mm,-95.43 mm,Top,-90,,,
C38,59.5375 mm,-98.2 mm,Top,-90,,,
C39,59.0375 mm,-95.37 mm,Top,-90,,,
C40,56.32 mm,-95 mm,Top,180,,,
C41,56.8625 mm,-97.15 mm,Top,180,,,
C42,80.07 mm,-79.5 mm,Top,0,,,
C43,82.05 mm,-79.4 mm,Top,180,,,
C44,71.64 mm,-83.2 mm,Top,0,,,
C45,71.64 mm,-84.4 mm,Top,0,,,
C46,71.6 mm,-85.6 mm,Top,0,,,
C47,71.72 mm,-86.8 mm,Top,0,,,
C48,71.72 mm,-88 mm,Top,0,,,
C49,71.78 mm,-89.2 mm,Top,180,,,
C50,71.7725 mm,-90.4 mm,Top,180,,,
C51,71.8 mm,-91.4 mm,Top,180,,,
C52,71.8525 mm,-92.7 mm,Top,0,,,
C53,76.25 mm,-94.6575 mm,Top,-90,,,
C54,77.35 mm,-94.82 mm,Top,-90,,,
C55,78.45 mm,-94.82 mm,Top,-90,,,
C56,79.55 mm,-94.6375 mm,Top,-90,,,
C57,82.65 mm,-94.82 mm,Top,-90,,,
C58,84.35 mm,-97.3875 mm,Top,-90,,,
C59,83.75 mm,-94.6575 mm,Top,-90,,,
C60,81.07 mm,-94.4 mm,Top,180,,,
C61,81.25 mm,-96.5375 mm,Top,180,,,
C62,39.1 mm,-41.3 mm,Top,0,,,
C63,37.12 mm,-41.3 mm,Top,180,,,
C64,31.42 mm,-98.8 mm,Top,0,,,
C65,31.42 mm,-97.7 mm,Top,0,,,
J1,17.5 mm,-40.42 mm,Top,-90,,,
J_BAT1,57.8 mm,-26.1 mm,Top,0,,,
J_BIAS1,26.1 mm,-75.66 mm,Top,0,,,
J_REF1,23.9 mm,-97.5 mm,Top,0,,,
P1,15.9 mm,-74.775 mm,Top,0,,,
P2,40.28 mm,-74.885 mm,Top,0,,,
P3,64.8 mm,-74.96 mm,Top,0,,,
R1,26.875 mm,-78.36 mm,Top,0,,,
R2,19.475 mm,-81.66 mm,Top,180,,,
R3,19.425 mm,-83.2 mm,Top,180,,,
R4,19.425 mm,-84.96 mm,Top,180,,,
R5,19.475 mm,-86.56 mm,Top,180,,,
R6,19.275 mm,-88.1 mm,Top,180,,,
R7,19.225 mm,-89.6 mm,Top,180,,,
R8,19.3 mm,-91.46 mm,Top,180,,,
R9,19.475 mm,-93.06 mm,Top,180,,,
R10,24.5 mm,-93.785 mm,Top,-90,,,
R11,43.855 mm,-81.3 mm,Top,180,,,
R12,43.88 mm,-82.9 mm,Top,180,,,
R13,43.875 mm,-84.5 mm,Top,180,,,
R14,43.875 mm,-86.1 mm,Top,180,,,
R15,43.875 mm,-87.7 mm,Top,180,,,
R16,43.875 mm,-89.4 mm,Top,180,,,
R17,43.875 mm,-91 mm,Top,180,,,
R18,43.875 mm,-92.7 mm,Top,180,,,
R19,50.4 mm,-94.6 mm,Top,-90,,,
R20,68.475 mm,-82.1 mm,Top,180,,,
R21,68.475 mm,-83.68 mm,Top,180,,,
R22,68.475 mm,-85.3 mm,Top,180,,,
R23,68.5 mm,-86.9 mm,Top,180,,,
R24,68.5 mm,-88.5 mm,Top,180,,,
R25,68.5 mm,-90.2 mm,Top,180,,,
R26,68.4 mm,-91.9 mm,Top,180,,,
R27,68.4 mm,-93.5 mm,Top,180,,,
R28,74.85 mm,-93.9375 mm,Top,-90,,,
R_CC1,20.375 mm,-44.2 mm,Top,0,,,
R_CC2,20.4 mm,-45.9 mm,Top,0,,,
R_GND1,39.5 mm,-42.9 mm,Top,180,,,
R_GND2,30.975 mm,-100.1 mm,Top,0,,,
U1,29.6625 mm,-86.91 mm,Top,0,,,
U2,55.4 mm,-87.7 mm,Top,0,,,
U3,79.85 mm,-86.9375 mm,Top,0,,,
U4,99.4 mm,-53.65 mm,Top,-90,,,
